rt,response,task,item_id,entity_type,entity,correct,intuitive,question,prefix,population_correct,population_intuitive,population_ratio,display_correct_first,task_type,trial_type,trial_index,time_elapsed,subject_id,study_id,session_id,rng_seed,response_correct,response_position,rt_zscore
5411,f,capitals,19,state,Kansas,Topeka,Wichita,What is the capital of Kansas?,The capital of Kansas is,0.125,0.395,3.16,True,critical,html-keyboard-response,37,148732,subject_30,67d993866d1d7516d87e97de,67f55379f7cd013df69fe5f4,0.2581160959977725,1,left,-0.15858724367894092
5331,j,capitals,28,state,Nevada,Carson City,Las Vegas,What is the capital of Nevada?,The capital of Nevada is,0.0576,0.67,11.63194444,True,critical,html-keyboard-response,39,155068,subject_30,67d993866d1d7516d87e97de,67f55379f7cd013df69fe5f4,0.2581160959977725,0,right,-0.16424487975722726
5639,j,capitals,39,state,Vermont,Montpelier,Burlington,What is the capital of Vermont?,The capital of Vermont is,0.0079,0.0444,5.620253165,False,critical,html-keyboard-response,41,161724,subject_30,67d993866d1d7516d87e97de,67f55379f7cd013df69fe5f4,0.2581160959977725,1,right,-0.14246298085582487
4426,f,capitals,36,state,Pennsylvania,Harrisburg,Philadelphia,What is the capital of Pennsylvania?,The capital of Pennsylvania is,0.05,1.517,30.34,False,critical,html-keyboard-response,43,167164,subject_30,67d993866d1d7516d87e97de,67f55379f7cd013df69fe5f4,0.2581160959977725,0,left,-0.2282468878928414
7541,j,capitals,38,state,Texas,Austin,Houston,What is the capital of Texas?,The capital of Texas is,0.989,2.324,2.349848332,True,critical,html-keyboard-response,45,175723,subject_30,67d993866d1d7516d87e97de,67f55379f7cd013df69fe5f4,0.2581160959977725,0,right,-0.007952683094567349
3983,f,capitals,23,state,Maryland,Annapolis,Baltimore,What is the capital of Maryland?,The capital of Maryland is,0.0403,0.553,13.72208437,False,critical,html-keyboard-response,47,180714,subject_30,67d993866d1d7516d87e97de,67f55379f7cd013df69fe5f4,0.2581160959977725,0,left,-0.25957604767635195
10188,f,capitals,18,state,Illinois,Springfield,Chicago,What is the capital of Illinois?,The capital of Illinois is,0.111,2.612,23.53153153,True,critical,html-keyboard-response,49,191917,subject_30,67d993866d1d7516d87e97de,67f55379f7cd013df69fe5f4,0.2581160959977725,1,left,0.17924435064573166
4677,j,capitals,41,state,Washington,Olympia,Seattle,What is the capital of Washington?,The capital of Washington is,0.0558,0.765,13.70967742,True,critical,html-keyboard-response,51,197604,subject_30,67d993866d1d7516d87e97de,67f55379f7cd013df69fe5f4,0.2581160959977725,0,right,-0.21049605469721802
4009,f,capitals,40,state,Virginia,Richmond,Virginia Beach,What is the capital of Virginia?,The capital of Virginia is,0.231,0.45,1.948051948,False,critical,html-keyboard-response,53,202617,subject_30,67d993866d1d7516d87e97de,67f55379f7cd013df69fe5f4,0.2581160959977725,0,left,-0.2577373159509089
2011,j,capitals,9,country,Switzerland,Bern,Zurich,What is the capital of Switzerland?,The capital of Switzerland is,0.448,1.455,3.247767857,True,critical,html-keyboard-response,57,301949,subject_30,67d993866d1d7516d87e97de,67f55379f7cd013df69fe5f4,0.2581160959977725,0,right,-0.39903677700611
10851,j,capitals,22,state,Maine,Augusta,Portland,What is the capital of Maine?,The capital of Maine is,0.0192,0.0695,3.619791667,False,critical,html-keyboard-response,59,313814,subject_30,67d993866d1d7516d87e97de,67f55379f7cd013df69fe5f4,0.2581160959977725,1,right,0.22613200964452962
10424,j,capitals,34,state,North Dakota,Bismarck,Fargo,What is the capital of North Dakota?,The capital of North Dakota is,0.076,0.138,1.815789474,False,critical,html-keyboard-response,61,325251,subject_30,67d993866d1d7516d87e97de,67f55379f7cd013df69fe5f4,0.2581160959977725,1,right,0.19593437707667632
7485,f,capitals,21,state,Louisiana,Baton Rouge,New Orleans,What is the capital of Louisiana?,The capital of Louisiana is,0.215,0.351,1.63255814,True,critical,html-keyboard-response,63,333741,subject_30,67d993866d1d7516d87e97de,67f55379f7cd013df69fe5f4,0.2581160959977725,1,left,-0.01191302834936778
12110,j,capitals,30,state,New Jersey,Trenton,Newark,What is the capital of New Jersey?,The capital of New Jersey is,0.0898,0.306,3.407572383,False,critical,html-keyboard-response,65,346855,subject_30,67d993866d1d7516d87e97de,67f55379f7cd013df69fe5f4,0.2581160959977725,1,right,0.31516905742656076
4432,f,capitals,42,state,Wisconsin,Madison,Milwaukee,What is the capital of Wisconsin?,The capital of Wisconsin is,0.284,0.551,1.940140845,True,critical,html-keyboard-response,67,352296,subject_30,67d993866d1d7516d87e97de,67f55379f7cd013df69fe5f4,0.2581160959977725,1,left,-0.22782256518696992
8685,j,capitals,27,state,Nebraska,Lincoln,Omaha,What is the capital of Nebraska?,The capital of Nebraska is,0.297,0.477,1.606060606,False,critical,html-keyboard-response,69,361996,subject_30,67d993866d1d7516d87e97de,67f55379f7cd013df69fe5f4,0.2581160959977725,1,right,0.07295151282492719
2367,j,capitals,1,country,Australia,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,True,critical,html-keyboard-response,71,365382,subject_30,67d993866d1d7516d87e97de,67f55379f7cd013df69fe5f4,0.2581160959977725,0,right,-0.37386029645773583
1378,j,capitals,8,country,South Africa,Pretoria,Johannesburg,What is the capital of South Africa?,The capital of South Africa is,3.0,6.4,2.133333333,True,critical,html-keyboard-response,73,367771,subject_30,67d993866d1d7516d87e97de,67f55379f7cd013df69fe5f4,0.2581160959977725,0,right,-0.44380282247555064
7876,f,capitals,20,state,Kentucky,Frankfort,Louisville,What is the capital of Kentucky?,The capital of Kentucky is,0.0281,0.617,21.95729537,True,critical,html-keyboard-response,75,376658,subject_30,67d993866d1d7516d87e97de,67f55379f7cd013df69fe5f4,0.2581160959977725,1,left,0.015738667983256665
8156,j,capitals,37,state,South Dakota,Pierre,Sioux Falls,What is the capital of South Dakota?,The capital of South Dakota is,0.0138,0.215,15.57971014,False,critical,html-keyboard-response,77,385829,subject_30,67d993866d1d7516d87e97de,67f55379f7cd013df69fe5f4,0.2581160959977725,1,right,0.03554039425725883
8249,j,capitals,3,country,Canada,Ottawa,Toronto,What is the capital of Canada?,The capital of Canada is,1.465,6.491,4.430716724,False,critical,html-keyboard-response,79,395084,subject_30,67d993866d1d7516d87e97de,67f55379f7cd013df69fe5f4,0.2581160959977725,1,right,0.04211739619826669
4760,f,capitals,15,state,Connecticut,Hartford,Bridgeport,What is the capital of Connecticut?,The capital of Connecticut is,0.119,0.148,1.243697479,True,critical,html-keyboard-response,81,400848,subject_30,67d993866d1d7516d87e97de,67f55379f7cd013df69fe5f4,0.2581160959977725,1,left,-0.20462625726599595
8280,j,capitals,32,state,New York,Albany,New York,What is the capital of New York?,The capital of New York is,0.103,7.937,77.05825243,False,critical,html-keyboard-response,83,410143,subject_30,67d993866d1d7516d87e97de,67f55379f7cd013df69fe5f4,0.2581160959977725,1,right,0.04430973017860264
10855,f,capitals,26,state,Montana,Helena,Billings,What is the capital of Montana?,The capital of Montana is,0.0359,0.123,3.426183844,True,critical,html-keyboard-response,85,422012,subject_30,67d993866d1d7516d87e97de,67f55379f7cd013df69fe5f4,0.2581160959977725,1,left,0.22641489144844393
7883,j,capitals,29,state,New Hampshire,Concord,Manchester,What is the capital of New Hampshire?,The capital of New Hampshire is,0.0449,0.115,2.561247216,False,critical,html-keyboard-response,87,430898,subject_30,67d993866d1d7516d87e97de,67f55379f7cd013df69fe5f4,0.2581160959977725,1,right,0.01623371114010672
7732,j,capitals,11,country,United Arab Emirates,Abu Dhabi,Dubai,What is the capital of the United Arab Emirates?,The capital of the United Arab Emirates is,1.6,3.1,1.9375,True,critical,html-keyboard-response,89,439634,subject_30,67d993866d1d7516d87e97de,67f55379f7cd013df69fe5f4,0.2581160959977725,0,right,0.0055549230423412675
1656,f,capitals,22,state,Maine,Augusta,Portland,What is the capital of Maine?,The capital of Maine is,0.0192,0.0695,3.619791667,False,critical,html-keyboard-response,7,37067,subject_28,67d993866d1d7516d87e97de,67f5594f1e1942f068f623fb,0.15064992901808572,0,left,0.27830129557308686
1318,f,capitals,42,state,Wisconsin,Madison,Milwaukee,What is the capital of Wisconsin?,The capital of Wisconsin is,0.284,0.551,1.940140845,True,critical,html-keyboard-response,9,39389,subject_28,67d993866d1d7516d87e97de,67f5594f1e1942f068f623fb,0.15064992901808572,1,left,-0.4987964998548324
1325,f,capitals,31,state,New Mexico,Santa Fe,Albuquerque,What is the capital of New Mexico?,The capital of New Mexico is,0.0901,0.557,6.182019978,False,critical,html-keyboard-response,11,41718,subject_28,67d993866d1d7516d87e97de,67f5594f1e1942f068f623fb,0.15064992901808572,0,left,-0.48270275852940214
2482,f,capitals,23,state,Maryland,Annapolis,Baltimore,What is the capital of Maryland?,The capital of Maryland is,0.0403,0.553,13.72208437,True,critical,html-keyboard-response,13,45205,subject_28,67d993866d1d7516d87e97de,67f5594f1e1942f068f623fb,0.15064992901808572,1,left,2.17736277197386
2414,f,capitals,11,country,United Arab Emirates,Abu Dhabi,Dubai,What is the capital of the United Arab Emirates?,The capital of the United Arab Emirates is,1.6,3.1,1.9375,True,critical,html-keyboard-response,15,48623,subject_28,67d993866d1d7516d87e97de,67f5594f1e1942f068f623fb,0.15064992901808572,1,left,2.021023570526823
1042,f,capitals,35,state,Oregon,Salem,Portland,What is the capital of Oregon?,The capital of Oregon is,0.178,0.615,3.45505618,False,critical,html-keyboard-response,17,50669,subject_28,67d993866d1d7516d87e97de,67f5594f1e1942f068f623fb,0.15064992901808572,0,left,-1.133349729257512
1287,j,capitals,28,state,Nevada,Carson City,Las Vegas,What is the capital of Nevada?,The capital of Nevada is,0.0576,0.67,11.63194444,False,critical,html-keyboard-response,19,52960,subject_28,67d993866d1d7516d87e97de,67f5594f1e1942f068f623fb,0.15064992901808572,1,right,-0.5700687828674522
1163,f,capitals,5,country,Morrocco,Rabat,Marrakesh,What is the capital of Morrocco?,The capital of Morrocco is,2.02,1.085,0.5371287129,True,critical,html-keyboard-response,21,55126,subject_28,67d993866d1d7516d87e97de,67f5594f1e1942f068f623fb,0.15064992901808572,1,left,-0.8551579149179315
1362,j,capitals,1,country,Australia,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,True,critical,html-keyboard-response,23,57492,subject_28,67d993866d1d7516d87e97de,67f5594f1e1942f068f623fb,0.15064992901808572,0,right,-0.3976358400949849
2364,f,capitals,17,state,Florida,Tallahassee,Jacksonville,What is the capital of Florida?,The capital of Florida is,0.205,1.008,4.917073171,False,critical,html-keyboard-response,25,60860,subject_28,67d993866d1d7516d87e97de,67f5594f1e1942f068f623fb,0.15064992901808572,0,left,1.906068275345178
1285,j,capitals,39,state,Vermont,Montpelier,Burlington,What is the capital of Vermont?,The capital of Vermont is,0.0079,0.0444,5.620253165,True,critical,html-keyboard-response,27,63149,subject_28,67d993866d1d7516d87e97de,67f5594f1e1942f068f623fb,0.15064992901808572,0,right,-0.574666994674718
1129,f,capitals,24,state,Michigan,Lansing,Detroit,What is the capital of Michigan?,The capital of Michigan is,0.112,0.63,5.625,False,critical,html-keyboard-response,29,65282,subject_28,67d993866d1d7516d87e97de,67f5594f1e1942f068f623fb,0.15064992901808572,0,left,-0.93332751564145
1555,f,capitals,15,state,Connecticut,Hartford,Bridgeport,What is the capital of Connecticut?,The capital of Connecticut is,0.119,0.148,1.243697479,False,critical,html-keyboard-response,31,67840,subject_28,67d993866d1d7516d87e97de,67f5594f1e1942f068f623fb,0.15064992901808572,0,left,0.04609159930616425
1468,j,capitals,41,state,Washington,Olympia,Seattle,What is the capital of Washington?,The capital of Washington is,0.0558,0.765,13.70967742,True,critical,html-keyboard-response,33,70312,subject_28,67d993866d1d7516d87e97de,67f5594f1e1942f068f623fb,0.15064992901808572,0,right,-0.15393061430989782
1315,f,capitals,27,state,Nebraska,Lincoln,Omaha,What is the capital of Nebraska?,The capital of Nebraska is,0.297,0.477,1.606060606,False,critical,html-keyboard-response,35,72631,subject_28,67d993866d1d7516d87e97de,67f5594f1e1942f068f623fb,0.15064992901808572,0,left,-0.5056938175657311
1711,j,capitals,2,country,Brazil,Brasilia,Rio de Janeiro,What is the capital of Brazil?,The capital of Brazil is,4.99,13.923,2.790180361,True,critical,html-keyboard-response,37,75346,subject_28,67d993866d1d7516d87e97de,67f5594f1e1942f068f623fb,0.15064992901808572,0,right,0.4047521202728962
1404,j,capitals,16,state,Delaware,Dover,Wilmington,What is the capital of Delaware?,The capital of Delaware is,0.0403,0.0722,1.791563275,False,critical,html-keyboard-response,39,77753,subject_28,67d993866d1d7516d87e97de,67f5594f1e1942f068f623fb,0.15064992901808572,1,right,-0.30107339214240325
1428,j,capitals,26,state,Montana,Helena,Billings,What is the capital of Montana?,The capital of Montana is,0.0359,0.123,3.426183844,True,critical,html-keyboard-response,41,80185,subject_28,67d993866d1d7516d87e97de,67f5594f1e1942f068f623fb,0.15064992901808572,0,right,-0.2458948504552137
1651,j,capitals,33,state,North Carolina,Raleigh,Charlotte,What is the capital of North Carolina?,The capital of North Carolina is,0.494,0.935,1.892712551,False,critical,html-keyboard-response,43,82839,subject_28,67d993866d1d7516d87e97de,67f5594f1e1942f068f623fb,0.15064992901808572,1,right,0.2668057660549224
1368,f,capitals,8,country,South Africa,Pretoria,Johannesburg,What is the capital of South Africa?,The capital of South Africa is,3.0,6.4,2.133333333,False,critical,html-keyboard-response,45,85211,subject_28,67d993866d1d7516d87e97de,67f5594f1e1942f068f623fb,0.15064992901808572,0,left,-0.38384120467318755
1541,j,capitals,10,country,Turkey,Ankara,Istanbul,What is the capital of Turkey?,The capital of Turkey is,5.55,16.24,2.926126126,False,critical,html-keyboard-response,47,87756,subject_28,67d993866d1d7516d87e97de,67f5594f1e1942f068f623fb,0.15064992901808572,1,right,0.013904116655303687
1818,j,capitals,20,state,Kentucky,Frankfort,Louisville,What is the capital of Kentucky?,The capital of Kentucky is,0.0281,0.617,21.95729537,True,critical,html-keyboard-response,49,90577,subject_28,67d993866d1d7516d87e97de,67f5594f1e1942f068f623fb,0.15064992901808572,0,right,0.6507564519616162
1306,f,capitals,9,country,Switzerland,Bern,Zurich,What is the capital of Switzerland?,The capital of Switzerland is,0.448,1.455,3.247767857,False,critical,html-keyboard-response,51,92886,subject_28,67d993866d1d7516d87e97de,67f5594f1e1942f068f623fb,0.15064992901808572,0,left,-0.5263857706984272
1486,f,capitals,34,state,North Dakota,Bismarck,Fargo,What is the capital of North Dakota?,The capital of North Dakota is,0.076,0.138,1.815789474,False,critical,html-keyboard-response,53,95376,subject_28,67d993866d1d7516d87e97de,67f5594f1e1942f068f623fb,0.15064992901808572,0,left,-0.11254670804450566
1283,j,capitals,40,state,Virginia,Richmond,Virginia Beach,What is the capital of Virginia?,The capital of Virginia is,0.231,0.45,1.948051948,False,critical,html-keyboard-response,55,97662,subject_28,67d993866d1d7516d87e97de,67f5594f1e1942f068f623fb,0.15064992901808572,1,right,-0.5792652064819838
1826,f,capitals,30,state,New Jersey,Trenton,Newark,What is the capital of New Jersey?,The capital of New Jersey is,0.0898,0.306,3.407572383,True,critical,html-keyboard-response,57,100492,subject_28,67d993866d1d7516d87e97de,67f5594f1e1942f068f623fb,0.15064992901808572,1,left,0.6691492991906794
1368,f,capitals,18,state,Illinois,Springfield,Chicago,What is the capital of Illinois?,The capital of Illinois is,0.111,2.612,23.53153153,True,critical,html-keyboard-response,59,102863,subject_28,67d993866d1d7516d87e97de,67f5594f1e1942f068f623fb,0.15064992901808572,1,left,-0.38384120467318755
1075,j,capitals,3,country,Canada,Ottawa,Toronto,What is the capital of Canada?,The capital of Canada is,1.465,6.491,4.430716724,True,critical,html-keyboard-response,61,104941,subject_28,67d993866d1d7516d87e97de,67f5594f1e1942f068f623fb,0.15064992901808572,0,right,-1.0574792344376265
1540,j,capitals,4,country,India,New Delhi,Mumbai,What is the capital of India?,The capital of India is,0.206,22.1,107.2815534,True,critical,html-keyboard-response,63,107485,subject_28,67d993866d1d7516d87e97de,67f5594f1e1942f068f623fb,0.15064992901808572,0,right,0.01160501075167079
1279,j,capitals,37,state,South Dakota,Pierre,Sioux Falls,What is the capital of South Dakota?,The capital of South Dakota is,0.0138,0.215,15.57971014,True,critical,html-keyboard-response,65,109767,subject_28,67d993866d1d7516d87e97de,67f5594f1e1942f068f623fb,0.15064992901808572,0,right,-0.5884616300965154
1121,f,capitals,7,country,Pakistan,Islamabad,Karachi,What is the capital of Pakistan?,The capital of Pakistan is,1.3,18.1,13.92307692,True,critical,html-keyboard-response,67,111892,subject_28,67d993866d1d7516d87e97de,67f5594f1e1942f068f623fb,0.15064992901808572,1,left,-0.9517203628705132
1241,f,capitals,29,state,New Hampshire,Concord,Manchester,What is the capital of New Hampshire?,The capital of New Hampshire is,0.0449,0.115,2.561247216,False,critical,html-keyboard-response,69,114136,subject_28,67d993866d1d7516d87e97de,67f5594f1e1942f068f623fb,0.15064992901808572,0,left,-0.6758276544345655
1165,f,capitals,6,country,New Zealand,Wellington,Auckland,What is the capital of New Zealand?,The capital of New Zealand is,0.428,1.711,3.997663551,True,critical,html-keyboard-response,71,116304,subject_28,67d993866d1d7516d87e97de,67f5594f1e1942f068f623fb,0.15064992901808572,1,left,-0.8505597031106656
1564,j,capitals,38,state,Texas,Austin,Houston,What is the capital of Texas?,The capital of Texas is,0.989,2.324,2.349848332,False,critical,html-keyboard-response,73,118873,subject_28,67d993866d1d7516d87e97de,67f5594f1e1942f068f623fb,0.15064992901808572,1,right,0.06678355243886032
1686,f,capitals,36,state,Pennsylvania,Harrisburg,Philadelphia,What is the capital of Pennsylvania?,The capital of Pennsylvania is,0.05,1.517,30.34,True,critical,html-keyboard-response,75,121563,subject_28,67d993866d1d7516d87e97de,67f5594f1e1942f068f623fb,0.15064992901808572,1,left,0.3472744726820738
1190,f,capitals,32,state,New York,Albany,New York,What is the capital of New York?,The capital of New York is,0.103,7.937,77.05825243,False,critical,html-keyboard-response,77,123757,subject_28,67d993866d1d7516d87e97de,67f5594f1e1942f068f623fb,0.15064992901808572,0,left,-0.7930820555198432
2708,j,capitals,12,state,Alabama,Montgomery,Birmingham,What is the capital of Alabama?,The capital of Alabama is,0.192,0.194,1.010416667,True,critical,html-keyboard-response,79,127468,subject_28,67d993866d1d7516d87e97de,67f5594f1e1942f068f623fb,0.15064992901808572,0,right,2.696960706194895
1332,j,capitals,14,state,California,Sacramento,Los Angeles,What is the capital of California?,The capital of California is,0.527,3.8,7.210626186,False,critical,html-keyboard-response,81,129804,subject_28,67d993866d1d7516d87e97de,67f5594f1e1942f068f623fb,0.15064992901808572,1,right,-0.46660901720397185
2852,f,capitals,25,state,Minnesota,St. Paul,Minneapolis,What is the capital of Minnesota?,The capital of Minnesota is,0.299,0.421,1.408026756,True,critical,html-keyboard-response,83,133660,subject_28,67d993866d1d7516d87e97de,67f5594f1e1942f068f623fb,0.15064992901808572,1,left,3.028031956318032
1206,f,capitals,13,state,Alaska,Juneau,Anchorage,What is the capital of Alaska?,The capital of Alaska is,0.0311,0.283,9.099678457,False,critical,html-keyboard-response,85,135870,subject_28,67d993866d1d7516d87e97de,67f5594f1e1942f068f623fb,0.15064992901808572,0,left,-0.7562963610617169
1736,j,capitals,21,state,Louisiana,Baton Rouge,New Orleans,What is the capital of Louisiana?,The capital of Louisiana is,0.215,0.351,1.63255814,False,critical,html-keyboard-response,87,138609,subject_28,67d993866d1d7516d87e97de,67f5594f1e1942f068f623fb,0.15064992901808572,1,right,0.46222976786371867
1418,j,capitals,19,state,Kansas,Topeka,Wichita,What is the capital of Kansas?,The capital of Kansas is,0.125,0.395,3.16,True,critical,html-keyboard-response,89,141030,subject_28,67d993866d1d7516d87e97de,67f5594f1e1942f068f623fb,0.15064992901808572,0,right,-0.2688859094915427
2337,f,capitals,33,state,North Carolina,Raleigh,Charlotte,What is the capital of North Carolina?,The capital of North Carolina is,0.494,0.935,1.892712551,False,critical,html-keyboard-response,7,375576,subject_24,67d993866d1d7516d87e97de,67dafc88e5fd277b68528422,0.4115900751875853,0,left,-0.26345452982542683
1761,f,capitals,9,country,Switzerland,Bern,Zurich,What is the capital of Switzerland?,The capital of Switzerland is,0.448,1.455,3.247767857,False,critical,html-keyboard-response,9,378342,subject_24,67d993866d1d7516d87e97de,67dafc88e5fd277b68528422,0.4115900751875853,0,left,-0.7628662196496495
2321,j,capitals,14,state,California,Sacramento,Los Angeles,What is the capital of California?,The capital of California is,0.527,3.8,7.210626186,True,critical,html-keyboard-response,11,381667,subject_24,67d993866d1d7516d87e97de,67dafc88e5fd277b68528422,0.4115900751875853,0,right,-0.2773270767649886
2567,j,capitals,29,state,New Hampshire,Concord,Manchester,What is the capital of New Hampshire?,The capital of New Hampshire is,0.0449,0.115,2.561247216,True,critical,html-keyboard-response,13,385238,subject_24,67d993866d1d7516d87e97de,67dafc88e5fd277b68528422,0.4115900751875853,0,right,-0.0640366675692268
2382,j,capitals,8,country,South Africa,Pretoria,Johannesburg,What is the capital of South Africa?,The capital of South Africa is,3.0,6.4,2.133333333,True,critical,html-keyboard-response,15,388622,subject_24,67d993866d1d7516d87e97de,67dafc88e5fd277b68528422,0.4115900751875853,0,right,-0.22443799155790942
2960,j,capitals,15,state,Connecticut,Hartford,Bridgeport,What is the capital of Connecticut?,The capital of Connecticut is,0.119,0.148,1.243697479,True,critical,html-keyboard-response,17,392586,subject_24,67d993866d1d7516d87e97de,67dafc88e5fd277b68528422,0.4115900751875853,0,right,0.27670776663375846
2491,f,capitals,27,state,Nebraska,Lincoln,Omaha,What is the capital of Nebraska?,The capital of Nebraska is,0.297,0.477,1.606060606,False,critical,html-keyboard-response,19,396161,subject_24,67d993866d1d7516d87e97de,67dafc88e5fd277b68528422,0.4115900751875853,0,left,-0.12993126553214507
2928,j,capitals,35,state,Oregon,Salem,Portland,What is the capital of Oregon?,The capital of Oregon is,0.178,0.615,3.45505618,False,critical,html-keyboard-response,21,400092,subject_24,67d993866d1d7516d87e97de,67dafc88e5fd277b68528422,0.4115900751875853,1,right,0.248962672754635
3354,f,capitals,30,state,New Jersey,Trenton,Newark,What is the capital of New Jersey?,The capital of New Jersey is,0.0898,0.306,3.407572383,False,critical,html-keyboard-response,23,404446,subject_24,67d993866d1d7516d87e97de,67dafc88e5fd277b68528422,0.4115900751875853,0,left,0.6183192350204664
2363,j,capitals,13,state,Alaska,Juneau,Anchorage,What is the capital of Alaska?,The capital of Alaska is,0.0311,0.283,9.099678457,False,critical,html-keyboard-response,25,407810,subject_24,67d993866d1d7516d87e97de,67dafc88e5fd277b68528422,0.4115900751875853,1,right,-0.240911641048639
2697,f,capitals,18,state,Illinois,Springfield,Chicago,What is the capital of Illinois?,The capital of Illinois is,0.111,2.612,23.53153153,False,critical,html-keyboard-response,27,411511,subject_24,67d993866d1d7516d87e97de,67dafc88e5fd277b68528422,0.4115900751875853,0,left,0.048677776314712345
2067,j,capitals,24,state,Michigan,Lansing,Detroit,What is the capital of Michigan?,The capital of Michigan is,0.112,0.63,5.625,False,critical,html-keyboard-response,29,414581,subject_24,67d993866d1d7516d87e97de,67dafc88e5fd277b68528422,0.4115900751875853,1,right,-0.4975537594305312
2671,j,capitals,20,state,Kentucky,Frankfort,Louisville,What is the capital of Kentucky?,The capital of Kentucky is,0.0281,0.617,21.95729537,True,critical,html-keyboard-response,31,418254,subject_24,67d993866d1d7516d87e97de,67dafc88e5fd277b68528422,0.4115900751875853,0,right,0.02613488753792452
2782,f,capitals,31,state,New Mexico,Santa Fe,Albuquerque,What is the capital of New Mexico?,The capital of New Mexico is,0.0901,0.557,6.182019978,False,critical,html-keyboard-response,33,422036,subject_24,67d993866d1d7516d87e97de,67dafc88e5fd277b68528422,0.4115900751875853,0,left,0.1223756819311341
2360,f,capitals,39,state,Vermont,Montpelier,Burlington,What is the capital of Vermont?,The capital of Vermont is,0.0079,0.0444,5.620253165,True,critical,html-keyboard-response,35,425399,subject_24,67d993866d1d7516d87e97de,67dafc88e5fd277b68528422,0.4115900751875853,1,left,-0.24351274359980682
2450,j,capitals,16,state,Delaware,Dover,Wilmington,What is the capital of Delaware?,The capital of Delaware is,0.0403,0.0722,1.791563275,False,critical,html-keyboard-response,37,428853,subject_24,67d993866d1d7516d87e97de,67dafc88e5fd277b68528422,0.4115900751875853,1,right,-0.16547966706477202
4088,j,capitals,7,country,Pakistan,Islamabad,Karachi,What is the capital of Pakistan?,The capital of Pakistan is,1.3,18.1,13.92307692,False,critical,html-keyboard-response,39,433943,subject_24,67d993866d1d7516d87e97de,67dafc88e5fd277b68528422,0.4115900751875853,1,right,1.2547223258728613
3562,j,capitals,32,state,New York,Albany,New York,What is the capital of New York?,The capital of New York is,0.103,7.937,77.05825243,True,critical,html-keyboard-response,41,438507,subject_24,67d993866d1d7516d87e97de,67dafc88e5fd277b68528422,0.4115900751875853,0,right,0.798662345234769
2145,f,capitals,17,state,Florida,Tallahassee,Jacksonville,What is the capital of Florida?,The capital of Florida is,0.205,1.008,4.917073171,False,critical,html-keyboard-response,43,441654,subject_24,67d993866d1d7516d87e97de,67dafc88e5fd277b68528422,0.4115900751875853,0,left,-0.4299250931001677
1801,j,capitals,36,state,Pennsylvania,Harrisburg,Philadelphia,What is the capital of Pennsylvania?,The capital of Pennsylvania is,0.05,1.517,30.34,True,critical,html-keyboard-response,45,444457,subject_24,67d993866d1d7516d87e97de,67dafc88e5fd277b68528422,0.4115900751875853,0,right,-0.7281848523007451
2464,f,capitals,28,state,Nevada,Carson City,Las Vegas,What is the capital of Nevada?,The capital of Nevada is,0.0576,0.67,11.63194444,True,critical,html-keyboard-response,47,447970,subject_24,67d993866d1d7516d87e97de,67dafc88e5fd277b68528422,0.4115900751875853,1,left,-0.1533411884926555
1846,j,capitals,10,country,Turkey,Ankara,Istanbul,What is the capital of Turkey?,The capital of Turkey is,5.55,16.24,2.926126126,True,critical,html-keyboard-response,49,450819,subject_24,67d993866d1d7516d87e97de,67dafc88e5fd277b68528422,0.4115900751875853,0,right,-0.6891683140332278
3598,f,capitals,4,country,India,New Delhi,Mumbai,What is the capital of India?,The capital of India is,0.206,22.1,107.2815534,False,critical,html-keyboard-response,51,455420,subject_24,67d993866d1d7516d87e97de,67dafc88e5fd277b68528422,0.4115900751875853,0,left,0.8298755758487829
7092,j,capitals,6,country,New Zealand,Wellington,Auckland,What is the capital of New Zealand?,The capital of New Zealand is,0.428,1.711,3.997663551,True,critical,html-keyboard-response,53,463512,subject_24,67d993866d1d7516d87e97de,67dafc88e5fd277b68528422,0.4115900751875853,0,right,3.8592930137755777
2173,f,capitals,22,state,Maine,Augusta,Portland,What is the capital of Maine?,The capital of Maine is,0.0192,0.0695,3.619791667,False,critical,html-keyboard-response,55,466688,subject_24,67d993866d1d7516d87e97de,67dafc88e5fd277b68528422,0.4115900751875853,0,left,-0.4056481359559347
1988,f,capitals,19,state,Kansas,Topeka,Wichita,What is the capital of Kansas?,The capital of Kansas is,0.125,0.395,3.16,False,critical,html-keyboard-response,57,469803,subject_24,67d993866d1d7516d87e97de,67dafc88e5fd277b68528422,0.4115900751875853,0,left,-0.5660494599446173
1803,f,capitals,26,state,Montana,Helena,Billings,What is the capital of Montana?,The capital of Montana is,0.0359,0.123,3.426183844,True,critical,html-keyboard-response,59,472607,subject_24,67d993866d1d7516d87e97de,67dafc88e5fd277b68528422,0.4115900751875853,1,left,-0.7264507839332999
1833,j,capitals,1,country,Australia,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,True,critical,html-keyboard-response,61,475441,subject_24,67d993866d1d7516d87e97de,67dafc88e5fd277b68528422,0.4115900751875853,0,right,-0.7004397584216216
